Index;Study_ID;AuthorsAndYear;Journal;Class;Year;TaxaNumber;SSD_Proxy;SexSel_Proxy;SexSel_Episode;SexSel_Category;PhyloControlled;BodySizeControlled;N;r;Var_r;SE_r;lCI;uCI;z;SE_z;SSD_SexBias;SSD_SexBias_in_perc_F
3;1;Lislevand et al. 2009;J Evol Biol;Aves;2009;93;Body size;Mating system;pre-copulatory;Mating system;Yes;No;93;0.083;0.01072032;0.103538979;-0.119936399;0.285936399;0.083191387;0.105409255;Male;7.5268817
4;1;Lislevand et al. 2009;J Evol Biol;Aves;2009;93;Body size;Male display;pre-copulatory;Trait-based;Yes;No;93;-0.0703;0.010762394;0.103741959;-0.273634239;0.13303424;-0.070416154;0.105409255;Male;7.5268817
5;2;Littleford-Colquhoun et al. 2018;Funct Ecol;Reptilia;2018;43;Body size;Density;both;Density;Yes;Yes;40;0.3374;0.020135429;0.141899363;0.059277248;0.615522751;0.35115561;0.164398987;Male;30.2325581
6;3;Loison et al. 1999;Evol Ecol Res;Mammalia;1999;54;Body mass;Mating system;pre-copulatory;Mating system;No;Yes;43;0.4446;0.015327018;0.123802336;0.201947421;0.687252579;0.477949585;0.158113883;Male;15.6862745
7;4;Mitani et al. 1996;Am Nat;Mammalia;1996;18;Body mass;OSR;both;OSR;Yes;Yes;16;0.7098;0.016413235;0.128114148;0.458696271;0.96090373;0.886780672;0.277350098;Male;0
8;5;Ord et al. 2001;Proc B;Reptilia;2001;63;Body size;Male display;pre-copulatory;Trait-based;Yes;No;63;0.27;0.013863136;0.117741818;0.039226037;0.500773963;0.276863823;0.129099445;Male;14.0350877
9;6;Owens and Hartley 1998;Proc B;Aves;1998;26;Body mass;Mating system;both;Mating system;Yes;No;26;0.5490228;0.019520223;0.139714793;0.275181806;0.822863794;0.616981388;0.208514414;NA;NA
10;6;Owens and Hartley 1998;Proc B;Aves;1998;71;Body mass;Extra-pair paternity;post-copulatory;Postmating competition;Yes;No;26;-0.1409012;0.038427514;0.19602937;-0.525118766;0.243316365;-0.141844911;0.208514414;NA;NA
11;7;Perez-Barberia et al. 2002;Evolution;Mammalia;2002;117;Body mass;Mating system;pre-copulatory;Mating system;Yes;No;117;0.4996;0.00485431;0.069672876;0.363041163;0.636158837;0.548772953;0.093658581;Male;24.4680851
12;8;Pincheira-Donoso et al. 2020;Global Ecol Biogeogr ;Amphibia;2020;621;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;621;0.0156;0.001612118;0.040151193;-0.063096338;0.094296338;0.015601266;0.040225899;Female;92.40638
13;8;Pincheira-Donoso et al. 2020;Global Ecol Biogeogr ;Amphibia;2020;74;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;74;-0.015;0.013692466;0.117014813;-0.244349033;0.214349033;-0.015001125;0.118678166;Female;92.40638
14;9;Plavcan and van Schaik 1997;Am J Phys Anthropol ;Mammalia;1997;85;Body mass;Male aggression;pre-copulatory;Premating competition;Yes;No;85;0.7469471;0.002326499;0.048233795;0.652408863;0.841485338;0.966013236;0.110431526;Male;14.516129
15;10;Poulin 1997;Biol J Linn Soc;Nematoda;1997;41;Body size;OSR;both;OSR;Yes;Yes;29;0.367;0.02674154;0.163528408;0.04648432;0.68751568;0.384951707;0.196116135;Female;97.3684211
16;10;Poulin 1997;Biol J Linn Soc;Nematoda;1997;21;Body size;OSR;both;OSR;Yes;Yes;21;0.479;0.029688059;0.17230223;0.141287628;0.816712371;0.52168571;0.23570226;Female;97.3684211
17;11;Pyron 1996;Biol J Linn Soc;Actinopterygii;1996;58;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;58;0.07;0.017372351;0.131804215;-0.188336261;0.328336261;0.070114671;0.134839972;Mixed;48.2758621
18;11;Pyron 1996;Biol J Linn Soc;Actinopterygii;1996;58;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;58;0.381;0.01282017;0.113226192;0.159076665;0.602923336;0.40122894;0.134839972;Mixed;48.2758621
19;11;Pyron 1996;Biol J Linn Soc;Actinopterygii;1996;58;Body size;Sperm competition;post-copulatory;Postmating competition;Yes;No;58;0.006;0.017542597;0.132448467;-0.253598996;0.265598995;0.006000072;0.134839972;Mixed;48.2758621
20;12;Prinzing et al. 2002;Evol Ecol Res;Aves;2002;162;Body mass;Sexual plumage dimorphism;pre-copulatory;Trait-based;Yes;No;17;0.0103;0.062486739;0.249973478;-0.479648016;0.500248017;0.010300364;0.267261242;Male;NA
21;13;Pyron et al. 2013;Behav Ecol Sociobiol ;Actinopterygii;2013;111;Body size;Mating system;post-copulatory;Postmating competition;Yes;Yes;111;0.3097;0.007430648;0.086201209;0.14074563;0.47865437;0.320213548;0.096225045;Mixed;49.0909091
22;13;Pyron et al. 2013;Behav Ecol Sociobiol ;Actinopterygii;2013;111;Body size;Sperm competition;post-copulatory;Postmating competition;Yes;Yes;111;-0.224;0.008201506;0.090562165;-0.401501843;-0.046498157;-0.227863471;0.096225045;Mixed;49.0909091
23;14;Raihani et al. 2006;Behav Ecol Sociobiol ;Aves;2006;25;Body size;Mating system;pre-copulatory;Mating system;Yes;No;24;0.4609;0.02696819;0.164219945;0.139028907;0.782771092;0.49845344;0.21821789;Male;8
24;14;Raihani et al. 2006;Behav Ecol Sociobiol ;Aves;2006;25;Body size;Male display;pre-copulatory;Trait-based;Yes;No;24;-0.4171;0.029666156;0.172238659;-0.754687771;-0.079512228;-0.444176082;0.21821789;Male;8
25;15;Saether et al. 1986;Biol J Linn Soc;Aves;1986;98;Body mass;Mating system;both;Mating system;No;Yes;98;0.3485;0.007957177;0.089203009;0.173662103;0.523337898;0.363735373;0.102597835;Female;78.7878788
26;16;Serrano-Meneses and Szekely 2006;Oikos;Aves;2006;73;Body mass;Male display;pre-copulatory;Trait-based;Yes;No;70;-0.233;0.012961874;0.113850226;-0.456146442;-0.009853557;-0.237359351;0.122169444;Male;25.3521127
27;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;63;Body size;Male display;pre-copulatory;Trait-based;Yes;No;63;0.0674;0.015982824;0.126423196;-0.180389464;0.315189464;0.06750234;0.129099445;Mixed;46.031746
28;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;63;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;51;0.1109;0.019511073;0.139682042;-0.162876802;0.384676802;0.111358031;0.144337567;Mixed;46.031746
29;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;70;Body size;Male display;pre-copulatory;Trait-based;Yes;No;70;0.054;0.014408355;0.120034808;-0.181268224;0.289268224;0.05405258;0.122169444;Male;30
30;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;70;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;57;0.4572;0.011171976;0.105697566;0.25003277;0.664367229;0.493765569;0.136082763;Male;30
31;18;Soulsbury et al. 2014;Evol Ecol Res;Aves;2014;35;Body mass;I males;pre-copulatory;Premating competition;Yes;No;35;0.22;0.026633605;0.163198054;-0.099868185;0.539868186;0.223656109;0.176776695;Female;73.4693878
32;18;Soulsbury et al. 2014;Evol Ecol Res;Mammalia;2014;32;Body mass;I males;pre-copulatory;Premating competition;Yes;No;32;0.61;0.012718013;0.112774169;0.388962628;0.831037371;0.708921359;0.185695338;Male;21.875
33;19;Wiklund and Forsberg 1991;Oikos;Insecta;1991;11;Body size;Mating system;both;Mating system;No;No;11;0.602;0.040652866;0.201625559;0.206813905;0.997186096;0.696278061;0.353553391;Female;81.8181818
34;19;Wiklund and Forsberg 1991;Oikos;Insecta;1991;12;Body size;Mating system;both;Mating system;No;No;12;0.669;0.027744441;0.166566626;0.342529414;0.995470587;0.808930774;0.333333333;Female;91.6666667
35;20;Webster 1992;Evolution;Aves;1992;35;Body size;Harem size;pre-copulatory;Premating competition;No;No;35;0.8465;0.002362852;0.048609173;0.751226021;0.941773979;1.243673;0.176776695;Male;8.8235294
36;20;Webster 1992;Evolution;Aves;1992;35;Body size;Mating system;both;Mating system;No;No;35;0.7017;0.00757868;0.087055616;0.531070992;0.872329007;0.870641669;0.176776695;Male;8.8235294
37;21;Tsuboi et al. 2012;Evol Ecol;Actinopterygii;2012;49;Body size;Mating system;both;Mating system;Yes;Yes;45;0.416;0.015541736;0.124666499;0.171653663;0.660346338;0.442845146;0.15430335;Female;82.1428571
38;22;Szeman et al. 2021;J Evol Biol;Mammalia;2021;153;Body mass;Group size;both;Density;Yes;No;153;0.3696;0.004904292;0.07003065;0.232339926;0.506860074;0.387959733;0.081649658;Male;20.3592814
39;22;Szeman et al. 2021;J Evol Biol;Mammalia;2021;102;Body mass;Mating system;both;Mating system;Yes;No;102;0.592;0.004177198;0.064631248;0.465322755;0.718677246;0.680739596;0.100503782;Male;20.3592814
40;23;Szekely et al. 2000;Evolution;Aves;2000;62;Body size;Mating system;both;Mating system;Yes;No;60;0.4249;0.011381605;0.106684604;0.215798177;0.634001824;0.453656488;0.132453236;Female;67.7966102
41;23;Szekely et al. 2000;Evolution;Aves;2000;62;Body size;Male display;pre-copulatory;Trait-based;Yes;No;48;-0.4314;0.014094117;0.118718647;-0.664088549;-0.198711452;-0.461615533;0.149071198;Female;67.7966102
42;24;Szekely et al. 2004;PNAS;Aves;2004;74;Body size;Mating system;both;Mating system;Yes;No;74;0.3813;0.010004915;0.100024571;0.185251841;0.577348159;0.401579931;0.118678166;Mixed;54.7619048
43;24;Szekely et al. 2004;PNAS;Aves;2004;74;Body size;Male display;pre-copulatory;Trait-based;Yes;No;74;-0.3333;0.01082415;0.104039176;-0.537216785;-0.129383215;-0.346536091;0.118678166;Mixed;54.7619048
44;26;Benitez et al. 2013;Zool Sci;Insecta;2013;8;Body size;OSR;both;OSR;No;No;8;0.65;0.04764375;0.218274483;0.222182013;1.077817987;0.775298706;0.447213595;Female;75
45;27;Berry & Shine 1980;Oecologia;Reptilia;1980;57;Body size;Male aggression;pre-copulatory;Premating competition;No;No;57;0.5164;0.009603115;0.097995482;0.324328855;0.708471145;0.571418132;0.136082763;Female;62.295082
46;28;Blanckenhorn et al. 2020;Oikos;Insecta;2020;15;Body size;Mating probability;pre-copulatory;Other;Yes;No;9;0.68;0.03612672;0.190070303;0.307462207;1.052537794;0.829114038;0.40824829;Female;66.6666667
47;29;Bro-Jorgensen 2007;Evolution;Mammalia;2007;91;Body mass;Group size;both;Density;Yes;No;68;0.321;0.012007992;0.109580983;0.106221274;0.535778727;0.332761588;0.124034735;Male;24.1758242
48;29;Bro-Jorgensen 2007;Evolution;Mammalia;2007;91;Body mass;Male aggression;pre-copulatory;Premating competition;Yes;No;68;0.283;0.012630392;0.112385016;0.062725369;0.503274631;0.290940262;0.124034735;Male;24.1758242
49;30;Camp et al. 2019;Biol J Linn Soc;Amphibia;2019;25;Body size;OSR;both;OSR;Yes;No;20;0.4827;0.030962636;0.175962031;0.13781442;0.827585581;0.526498526;0.242535625;Female;61.5384615
50;31;Cassini 2020;Behav Ecol;Mammalia;2020;23;Body mass;I males;both;Other;Yes;No;17;0.6098;0.024660302;0.15703599;0.30200946;0.91759054;0.708602899;0.267261242;Male;10
51;31;Cassini 2020;Behav Ecol;Mammalia;2020;23;Body mass;Group size;both;Density;Yes;No;17;0.1729;0.058819053;0.242526398;-0.302451739;0.64825174;0.174654493;0.267261242;Male;10
52;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;OSR;both;OSR;Yes;No;12;0.7549834;0.016809096;0.129649898;0.5008696;1.0090972;0.984444357;0.333333333;Male;4.2553191
53;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;Mating system;both;Mating system;Yes;No;50;0.3162278;0.016530611;0.128571426;0.064227806;0.568227795;0.327450188;0.145864991;Male;4.2553191
54;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;Male aggression;pre-copulatory;Premating competition;Yes;No;32;0.4358899;0.021164516;0.145480294;0.150748524;0.721031276;0.467145315;0.185695338;Male;4.2553191
55;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;ASR;both;Other;Yes;No;37;0.1732051;0.026136111;0.161666666;-0.143661564;0.490071765;0.174969012;0.171498585;Male;4.2553191
56;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;Group size;both;Density;Yes;No;41;0.1;0.0245025;0.156532744;-0.206804179;0.406804178;0.100335348;0.162221421;Male;4.2553191
57;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;Maximum mating percentage;both;Other;Yes;No;19;0.1;0.05445;0.233345238;-0.357356666;0.557356666;0.100335348;0.25;Male;4.2553191
58;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;Total paternity;both;Other;Yes;No;50;0.1414214;0.0196;0.139999998;-0.132978597;0.415821396;0.142375688;0.145864991;Male;4.2553191
59;34;Cox et al. 2003;Evolution;Reptilia;2003;302;Body size;Male aggression;pre-copulatory;Premating competition;Yes;Yes;212;0.136;0.00456564;0.067569522;0.003563737;0.268436263;0.136847915;0.069171446;NA;NA
60;34;Cox et al. 2003;Evolution;Reptilia;2003;302;Body size;Male aggression;pre-copulatory;Premating competition;Yes;Yes;497;0.133;0.001945433;0.044107066;0.046550151;0.219449849;0.133792642;0.044992127;NA;NA
61;37;Fitzpatrick et al. 2012;Evolution;Mammalia;2012;33;Body mass;Sperm competition;post-copulatory;Postmating competition;Yes;No;13;-0.003;0.083331833;0.288672537;-0.51;0.562798173;-0.003000009;0.316227766;Male;18.1818182
62;37;Fitzpatrick et al. 2012;Evolution;Mammalia;2012;33;Body mass;Mating system;pre-copulatory;Mating system;Yes;No;33;0.5731;0.014093375;0.118715519;0.2401;0.805782417;0.65212684;0.182574186;Male;18.1818182
63;38;Garcia-Navas et al. 2016;Oikos;Mammalia;2016;34;Body mass;Mating system;both;Mating system;Yes;No;31;0.2196;0.030195908;0.173769699;-0.12098861;0.56018861;0.223235803;0.188982237;Male;32.3529412
64;39;Gonzalez-Suarez & Cassini 2014;Mammal Rev;Mammalia;2014;9;Body mass;I males;both;Other;Yes;No;9;0.8774;0.006622235;0.081377115;0.717900854;1.036899145;1.364358;0.40824829;Male;0
65;40;Grueter & Van Schaik 2009;Am J Primatol;Mammalia;2009;24;Body mass;Social organization;both;Other;Yes;No;24;0.4764;0.025982415;0.161190617;0.160466392;0.792333609;0.518316969;0.21821789;Male;0
66;41;Horne et al. 2020;Proc B;Pisces;2020;619;Body size;PCA;both;Other;Yes;No;363;0.2583;0.002406115;0.049052166;0.162157754;0.354442245;0.264286017;0.052704628;Female;71.6008772
69;42;Janicke & Fromonteil 2021;BIOLOGY LETTERS;Animalia;2021;64;Body size;Bateman gradient;pre-copulatory;Other;Yes;No;94;0.1909;0.009983252;0.099916226;-0.004935803;0.386735803;0.193271042;0.104828484;Mixed;52.6315789
70;42;Janicke & Fromonteil 2021;BIOLOGY LETTERS;Animalia;2021;64;Body size;Opportunity for sexual selection;pre-copulatory;Premating competition;Yes;No;86;0.261;0.010216453;0.101076469;0.062890121;0.459109879;0.267181208;0.10976426;Mixed;52.6315789
71;43;Kahrl et al. 2016;Evol Ecol;Reptilia;2016;120;Body size;Sperm competition;post-copulatory;Postmating competition;Yes;Yes;120;-0.293;0.007022454;0.083800085;-0.457248166;-0.128751833;-0.301844856;0.092450033;Male;34.1880342
72;43;Kahrl et al. 2016;Evol Ecol;Reptilia;2016;31;Body size;Sperm competition;post-copulatory;Postmating competition;Yes;Yes;31;-0.692;0.009052758;0.095145981;-0.878486123;-0.505513877;-0.851783379;0.188982237;Female;70
73;44;Kelley et al. 2014;Can J Zool;Mammalia;2014;40;Body mass;Sperm competition;post-copulatory;Postmating competition;Yes;No;40;-0.38;0.018770548;0.137005648;-0.648531071;-0.11146893;-0.40005965;0.164398987;NA;NA
74;45;Krueger 2005;Evol Ecol;Aves;2005;61;Body size;Sexual plumage dimorphism;pre-copulatory;Trait-based;Yes;No;22;0.6156;0.018366024;0.135521305;0.349978242;0.881221758;0.717889003;0.229415734;Female;100
75;46;Krueger et al. 2014;Evolution;Mammalia;2014;35;Body mass;Harem size;pre-copulatory;Premating competition;Yes;No;34;0.661;0.009607817;0.098019472;0.468881834;0.853118165;0.794587501;0.179605302;Male;24.2424242
76;47;Liao et al. 2013;Front Zool;Amphibia;2013;39;Body size;Mating system;both;Mating system;Yes;No;38;0.0325;0.026969963;0.164225341;-0.289381668;0.354381668;0.03251145;0.169030851;Female;100
77;48;Liker et al. 2021;Evolution;Reptilia;2021;155;Body size;ASR;both;Other;Yes;Yes;155;0.1277;0.00628345;0.079268218;-0.027665706;0.283065707;0.128401019;0.081110711;Male;7.079646
78;48;Liker et al. 2021;Evolution;Aves;2021;185;Body mass;ASR;both;Other;Yes;Yes;185;0.4408;0.003527962;0.05939665;0.324382566;0.557217434;0.473223301;0.074124932;Mixed;49.3506494
79;48;Liker et al. 2021;Evolution;Mammalia;2021;122;Body mass;ASR;both;Other;Yes;Yes;122;0.2597;0.007187277;0.08477781;0.093535492;0.425864508;0.265786683;0.09166985;Male;31.8681319
80;49;Lindenfors & Tullberg 1998;Biol J Linn Soc;Mammalia;1998;15;Body mass;Mating system;pre-copulatory;Mating system;Yes;No;15;0.6901;0.019594759;0.13998128;0.415736691;0.964463309;0.848146656;0.288675135;Male;6.6666667
81;49;Lindenfors & Tullberg 1998;Biol J Linn Soc;Mammalia;1998;7;Body mass;Mating system;pre-copulatory;Mating system;Yes;No;7;0.2213;0.15074184;0.388254865;-0.539679536;0.982279535;0.225022641;0.5;Mixed;41.6666667
82;50;Lindenfors et al. 2002;Behav Ecol Sociobiol;Mammalia;2002;36;Body size;Harem size;pre-copulatory;Premating competition;Yes;No;35;0.6204837;0.011124264;0.105471626;0.413759313;0.827208087;0.725791208;0.176776695;Male;19.4444444
83;51;Gonzalez-Voyer et al. 2022;Ecology Letters;Aves;2022;1861;NA;Sexual plumage dimorphism;pre-copulatory;Trait-based;Yes;No;1861;0.05;0.00053495;0.023128977;0.004667204;0.095332795;0.050041729;0.023199421;Male;35.0893127
84;51;Gonzalez-Voyer et al. 2022;Ecology Letters;Aves;2022;1861;NA;Mating system;both;Mating system;Yes;No;1861;0.22;0.000486851;0.022064697;0.176753195;0.263246806;0.223656109;0.023199421;Male;35.0893127
85;52;Kwon et al. 2022;BEHAVIORAL ECOLOGY;Aves;2022;177;Body size;Mating system;both;Mating system;Yes;No;62;0.3957;0.011661637;0.107989059;0.184041445;0.607358556;0.418540299;0.130188911;Female;80
86;53;Mikula et al. 2022;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;Aves;2022;1732;Body mass;Male display;pre-copulatory;Trait-based;Yes;No;1075;-0.34;0.000728271;0.026986502;-0.392893544;-0.287106456;-0.354092529;0.030542361;Male;23.3985765
87;53;Mikula et al. 2022;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;Aves;2022;1732;Body mass;Mating system;both;Mating system;Yes;No;1021;0.17;0.000924544;0.03040632;0.110403612;0.229596387;0.171666664;0.031341957;Male;23.3985765
88;54;Song et al. 2022;The American naturalist;Aves;2022;107;Body size;Mating system;both;Mating system;Yes;No;68;0.4121;0.010286391;0.101421846;0.213313181;0.610886818;0.438138186;0.124034735;Male;2.0618557
89;55;Garcia-Navas 2017;Evol Biol;Mammalia;2017;56;Body size;Baculum length;post-copulatory;Postmating competition;Yes;No;56;-0.1612;0.01724917;0.131336096;-0.418618749;0.096218748;-0.162618467;0.018867925;Male;10
90;1391;Clear et al. 2023;JOURNAL OF MORPHOLOGY;Mammalia;2023;29;Body mass;Baculum shape;post-copulatory;Postmating competition;Yes;No;29;0.266833281;0.030809623;0.175526701;-0.077199053;0.610865616;0.273451232;0.196116135;Male;0
91;1577;Aung et al. 2023;NATURE COMMUNICATIONS;Mammalia;2023;36;Body mass;Mating system;both;Mating system;Yes;No;36;0.6;0.011702857;0.108179745;0.387967701;0.812032299;0.693147181;0.174077656;Male;8.3
92;1577;Aung et al. 2023;NATURE COMMUNICATIONS;Mammalia;2023;36;Body mass;ASR;both;Other;Yes;No;36;0.59;0.012142103;0.110191212;0.374025225;0.805974775;0.677666068;0.174077656;Male;8.3
93;2175;Pyron 2000;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;Actinopterygii;2000;37;Body mass;Sperm competition;post-copulatory;Postmating competition;Yes;No;37;0.346410162;0.021511111;0.146666667;0.058943495;0.633876828;0.361358597;0.171498585;Mixed;45.94594595
94;2198;Luepold et al. 2014;NATURE COMMUNICATIONS;Mammalia;2014;65;Body mass;Sperm competition;post-copulatory;Postmating competition;Yes;No;65;-0.03;0.015596888;0.1248875;-0.2747795;0.2147795;-0.030009005;0.127000127;Male;18.18181818
95;2198;Luepold et al. 2014;NATURE COMMUNICATIONS;Mammalia;2014;57;Body mass;Sperm competition;post-copulatory;Postmating competition;Yes;No;57;-0.01;0.017853572;0.133617258;-0.271889825;0.251889825;-0.010000333;0.136082763;Male;11.86440678
96;2198;Luepold et al. 2014;NATURE COMMUNICATIONS;Aves;2014;33;Body mass;Sperm competition;post-copulatory;Postmating competition;Yes;No;33;0.35;0.024062695;0.15512155;0.045961762;0.654038238;0.365443754;0.182574186;Male;0
97;2198;Luepold et al. 2014;NATURE COMMUNICATIONS;Actinopterygii;2014;109;Body size;Sperm competition;post-copulatory;Postmating competition;Yes;No;109;0.24;0.008223313;0.090682482;0.062262335;0.417737665;0.244774113;0.097128586;NA;NA
